SANTA INVENTORY                        M A G I C   Version  8.30

 System : (SI)  SANTA                                           Date : 10/26/2020
   Page :   1     Table Repository                              Time : 11:05:41

 +-#--+------ Name --------+Columns+Indexes+Size+- DB table -+--- Database ---+
 |   3|Cabang              |      4|      2|  10|CABANG      |INVENTORY       |
 |   4|Setup Faktur Showroo|      4|      3|  20|PREFIXSH    |INVENTORY       |
 |   5|PRINTER             |      2|      1|  33|PRINTER     |INVENTORY       |
 |   6|Setup Lokasi Local  |      2|      1|   7|SETLOKAC    |INVENTORY       |
 |   7|Setup Faktur        |     17|      1| 299|SETPFAKT    |INVENTORY       |
 |   8|Setup Trx Lokasi    |      3|      1|  10|SETINV      |INVENTORY       |
 |   9|Setup Prefix Trx    |      3|      1|   7|SEPRETRX    |INVENTORY       |
 |  10|Backup Setup        |      5|      1|  88|C:\MAGIC8\SE|Btrieve         |
 |    |                    |       |       |    |TBACK       |                |
 |  11|Counter IV          |      5|      1|  11|TRXSQNO     |INVENTORY       |
 |  12|Seq No              |      5|      1|  11|TRXSQNOR    |INVENTORY       |
 |  13|Counter Supplier Cod|      3|      1|   6|NOVENDOR    |PRODUKSI        |
 |  14|Counter Customer Cod|      3|      1|   6|NOCUST      |INVENTORY       |
 |  15|Setup Complain Faktu|      7|      1| 110|SETPPN      |INVENTORY       |
 |  16|Setup Faktur Pajak  |      9|      1| 220|SETFAKJAK   |INVENTORY       |
 |  17|Setup Footer Pajak S|      4|      1| 152|SEDERHNA    |INVENTORY       |
 |  18|Setup Prefix Faktur |      6|      1|  15|SETPREFX    |INVENTORY       |
 |  19|Setup Alokasi Data  |      4|      1|  83|SETDATA     |RIGHTS          |
 |  20|Setup PO Delivery Ad|     10|      1| 276|ADDRESS     |PRODUKSI        |
 |  21|SETUP MP            |     14|      2| 186|SETPURCH    |PRODUKSI        |
 |  22|Menu1               |     13|      1|  23|ACCMENU     |RIGHTS          |
 |  23|Menu Master Detail  |      9|      1|  20|ACMSPERM    |RIGHTS          |
 |  24|Menu Trans Detail   |     13|      1|  25|ACTRPERM    |RIGHTS          |
 |  25|Menu Finance Detail |     13|      1|  25|ACFNPERM    |RIGHTS          |
 |  26|Menu Reporting      |     41|      1|  51|ACREPORT    |RIGHTS          |
 |  27|Menu Sales Report   |     30|      1|  40|ACSLSRPT    |RIGHTS          |
 |  28|Menu Inventory Repor|     30|      1|  40|ACIVREPT    |RIGHTS          |
 |  29|Menu Purchase Report|     30|      1|  40|ACPURRPT    |RIGHTS          |
 |  30|Menu Customer       |      3|      1|  13|ACUSTYPE    |RIGHTS          |
 |  31|Menu Trx Addition   |      6|      1|  16|ACTRADD     |RIGHTS          |
 |  32|ALLOW ACCESS PERMISI|      5|      1|  33|PMISSION    |RIGHTS          |
 |  33|Store Maintain Stock|      3|      2|  13|MAINSTK     |INVENTORY       |
 |  34|Store Use Register  |      3|      1|  11|STRREG      |INVENTORY       |
 |  35|Online Date         |      1|      1|   8|OLDATE      |INVENTORY       |
 |  36|Menu  Tambahan      |     12|      1|  24|ACOPERM5    |RIGHTS          |
 |  37|-------------- Table|      0|      0|   0|            |Btrieve         |
 |  38|Brand Name          |      6|      3|  60|BRAND       |PRODUKSI        |
 |  39|Colour_Code         |      5|      2|  60|COLOUR      |PRODUKSI        |
 |  40|Size_Code           |      5|      2|  60|SIZE        |PRODUKSI        |
 |  41|UOM                 |      5|      1|  62|PRDUOM      |PRODUKSI        |
 |  42|UOM Conversion      |      6|      1|  45|PRDCONV     |PRODUKSI        |
 |  43|Class               |      7|      3|  66|ACLASS      |PRODUKSI        |
 |  44|Subclass            |      6|      2|  64|ASUBCLAS    |PRODUKSI        |
 |  45|Salesman            |     11|      2| 161|SALESMAN    |INVENTORY       |
 |  46|Salesman Wilayah    |      5|      1|  40|SALESREG    |INVENTORY       |
 |  47|Salesman Cust Type  |      5|      1|  39|SLCUSTPE    |INVENTORY       |
 |  48|Customer            |     29|     10| 561|CUSTOMER    |INVENTORY       |
 |  49|Block Customer      |      6|      2|  93|BLOKCUST    |INVENTORY       |
 |  50|Payment Vaccount    |      5|      1| 130|PAYVACC     |INVENTORY       |
 |  51|Customer Class      |      2|      2|  11|CUSTCLAS    |INVENTORY       |
 |  52|Contact Customer    |     20|      3| 334|CONTACT     |INVENTORY       |
 +----+--------------------+-------+-------+----+------------+----------------+


SANTA INVENTORY                        M A G I C   Version  8.30

 System : (SI)  SANTA                                           Date : 10/26/2020
   Page :   2     Table Repository                              Time : 11:05:41

 +-#--+------ Name --------+Columns+Indexes+Size+- DB table -+--- Database ---+
 |  53|Customer Salesman   |      6|      3|  55|SEKCUST     |INVENTORY       |
 |  54|Head Company Custome|      4|      3|  94|HOLDING     |INVENTORY       |
 |  55|Head n Branch       |      3|      2|  43|HDBRANCH    |INVENTORY       |
 |  56|Head Wilayah        |      2|      1|  52|HDWIL       |INVENTORY       |
 |  57|Detail Wilayah      |      2|      2|  15|DTLWIL      |INVENTORY       |
 |  58|Ekspedisi Customer  |     13|      1| 282|EXPEDISI    |INVENTORY       |
 |  59|Product History     |     12|      6| 114|DPRHIST     |INVENTORY       |
 |  60|Monthly Product Hist|     24|      4| 185|MPRDHIST    |INVENTORY       |
 |  61|Monthly COGS        |     12|      2|  90|MONTHCOG    |INVENTORY       |
 |  62|Monthly Product COST|     24|      4| 185|MHISTAL     |INVENTORY       |
 |  63|Konstant Cost       |      4|      2|  26|CONSTANT    |INVENTORY       |
 |  64|DAILY PROCESS       |      5|      2|  24|C:\MAGIC8\QB|Default Database|
 |    |                    |       |       |    |988         |                |
 |  65|End Of Month        |      4|      1|   8|CLOSING     |INVENTORY       |
 |  66|Tabel Promo         |      6|      1|  63|PROMO       |INVENTORY       |
 |  67|Promo Periode HD    |     10|      3|  75|PROMOHDR    |INVENTORY       |
